game_id,season,game_type,game_date,start_time_utc,eastern_utc_offset,game_state,venue,home_abbrev,away_abbrev,home_score,away_score,winner_abbrev,loser_abbrev,goal_diff
2024020001,20242025,2,2024-10-04,2024-10-04T17:00:00Z,-04:00,OFF,O2 Czech Republic,BUF,NJD,1.0,4.0,NJD,BUF,3.0
2024020002,20242025,2,2024-10-05,2024-10-05T14:00:00Z,-04:00,OFF,O2 Czech Republic,NJD,BUF,3.0,1.0,NJD,BUF,2.0
2024020003,20242025,2,2024-10-08,2024-10-08T20:30:00Z,-04:00,OFF,Climate Pledge Arena,SEA,STL,2.0,3.0,STL,SEA,1.0
2024020004,20242025,2,2024-10-08,2024-10-08T23:00:00Z,-04:00,OFF,Amerant Bank Arena,FLA,BOS,6.0,4.0,FLA,BOS,2.0
2024020005,20242025,2,2024-10-08,2024-10-09T02:00:00Z,-04:00,OFF,Delta Center,UTA,CHI,5.0,2.0,UTA,CHI,3.0
2024020006,20242025,2,2024-10-09,2024-10-09T23:00:00Z,-04:00,OFF,Centre Bell,MTL,TOR,1.0,0.0,MTL,TOR,1.0
2024020007,20242025,2,2024-10-09,2024-10-09T23:30:00Z,-04:00,OFF,PPG Paints Arena,PIT,NYR,0.0,6.0,NYR,PIT,6.0
2024020008,20242025,2,2024-10-09,2024-10-10T02:00:00Z,-04:00,OFF,Rogers Place,EDM,WPG,0.0,6.0,WPG,EDM,6.0
2024020009,20242025,2,2024-10-09,2024-10-10T02:00:00Z,-04:00,OFF,Rogers Arena,VAN,CGY,5.0,6.0,CGY,VAN,1.0
2024020010,20242025,2,2024-10-09,2024-10-10T02:00:00Z,-04:00,OFF,T-Mobile Arena,VGK,COL,8.0,4.0,VGK,COL,4.0
2024020011,20242025,2,2024-10-10,2024-10-10T23:00:00Z,-04:00,OFF,TD Garden,BOS,MTL,6.0,4.0,BOS,MTL,2.0
2024020012,20242025,2,2024-10-10,2024-10-10T23:00:00Z,-04:00,OFF,KeyBank Center,BUF,LAK,1.0,3.0,LAK,BUF,2.0
2024020013,20242025,2,2024-10-10,2024-10-10T23:00:00Z,-04:00,OFF,Canadian Tire Centre,OTT,FLA,3.0,1.0,OTT,FLA,2.0
2024020014,20242025,2,2024-10-10,2024-10-11T00:00:00Z,-04:00,OFF,Little Caesars Arena,DET,PIT,3.0,6.0,PIT,DET,3.0
2024020015,20242025,2,2024-10-10,2024-10-10T23:00:00Z,-04:00,OFF,Prudential Center,NJD,TOR,2.0,4.0,TOR,NJD,2.0
2024020016,20242025,2,2024-10-10,2024-10-10T23:30:00Z,-04:00,OFF,UBS Arena,NYI,UTA,4.0,5.0,UTA,NYI,1.0
2024020017,20242025,2,2024-10-10,2024-10-11T00:00:00Z,-04:00,OFF,Bridgestone Arena,NSH,DAL,3.0,4.0,DAL,NSH,1.0
2024020018,20242025,2,2024-10-10,2024-10-11T00:00:00Z,-04:00,OFF,Xcel Energy Center,MIN,CBJ,3.0,2.0,MIN,CBJ,1.0
2024020019,20242025,2,2024-10-10,2024-10-11T02:30:00Z,-04:00,OFF,SAP Center at San Jose,SJS,STL,4.0,5.0,STL,SJS,1.0
2024020020,20242025,2,2024-10-11,2024-10-11T23:00:00Z,-04:00,OFF,Lenovo Center,CAR,TBL,1.0,4.0,TBL,CAR,3.0
2024020021,20242025,2,2024-10-11,2024-10-12T00:00:00Z,-04:00,OFF,Canada Life Centre,WPG,CHI,2.0,1.0,WPG,CHI,1.0
2024020022,20242025,2,2024-10-11,2024-10-12T02:00:00Z,-04:00,OFF,Rogers Arena,VAN,PHI,2.0,3.0,PHI,VAN,1.0
2024020023,20242025,2,2024-10-11,2024-10-12T02:00:00Z,-04:00,OFF,T-Mobile Arena,VGK,STL,4.0,3.0,VGK,STL,1.0
2024020024,20242025,2,2024-10-12,2024-10-12T17:00:00Z,-04:00,OFF,TD Garden,BOS,LAK,2.0,1.0,BOS,LAK,1.0
2024020025,20242025,2,2024-10-12,2024-10-12T23:00:00Z,-04:00,OFF,KeyBank Center,BUF,FLA,5.0,2.0,BUF,FLA,3.0
2024020026,20242025,2,2024-10-12,2024-10-12T23:00:00Z,-04:00,OFF,Scotiabank Arena,TOR,PIT,4.0,2.0,TOR,PIT,2.0
2024020027,20242025,2,2024-10-12,2024-10-12T23:00:00Z,-04:00,OFF,Centre Bell,MTL,OTT,4.0,1.0,MTL,OTT,3.0
2024020028,20242025,2,2024-10-12,2024-10-12T23:00:00Z,-04:00,OFF,Little Caesars Arena,DET,NSH,3.0,0.0,DET,NSH,3.0
2024020029,20242025,2,2025-01-07,2025-01-08T00:00:00Z,-05:00,OFF,Amalie Arena,TBL,CAR,3.0,2.0,TBL,CAR,1.0
2024020030,20242025,2,2024-10-12,2024-10-12T23:00:00Z,-04:00,OFF,Madison Square Garden,NYR,UTA,5.0,6.0,UTA,NYR,1.0
2024020031,20242025,2,2024-10-12,2024-10-12T23:00:00Z,-04:00,OFF,Capital One Arena,WSH,NJD,3.0,5.0,NJD,WSH,2.0
2024020032,20242025,2,2024-10-12,2024-10-13T00:00:00Z,-04:00,OFF,American Airlines Center,DAL,NYI,3.0,0.0,DAL,NYI,3.0
